 Those who voluntarily go to their country return to Germany	﻿﻿ Könüllü olaraq ölkələrinə gedənlər yenidən Almaniyaya qayıdırlar
After feeding, hold him upright so he burps.	Yedizdirdikdən sonra dik vəziyyətdə tutun ki, gəyirsin.
It will be difficult for Gabala.	" "Qəbələ" üçün ağır olacaq.
"Azerbaijan attaches special importance to cooperation with the UN"-	" Azərbaycan BMT ilə əməkdaşlığa xüsusi önəm verir"-
"These loans are not only given by the state.	" Bu kreditlər yalnız dövlət tərəfindən verilmir.
"We knew that air affects the human body.	" Biz havanın insan orqanizminə təsir etdiyini bilirdik.
"We want to watch this final, help us".	" Bu finalı izləmək istəyirik, bizə yardım edin".
"It doesn't suit me to say that"-	" Bunu demək mənə yaraşmaz"-
Result matching the word "dispute" was found!	" Disput " sözünə uyğun nəticə tapıldı!
"I have great respect for the birth mother.	" Doğuşun anasına hörmətim böyükdür.
"O our Lord who strengthens the hearts!	" Ey qəlbləri möhkəmlədən Rəbbimiz !
A matching result was found for the word "Philippines"!	" Filippin " sözünə uyğun nəticə tapıldı!
"See how they lie to themselves!	" Gör onlar özlərinə qarşı necə yalan deyirlər!
"Indeed, some of the people took refuge in some of the jinn.	" Həqiqətən, insanlardan bəziləri cinlərin bəzilərinə sığınırdılar.
A matching result was found for the word "Museum"!	" Muzey " sözünə uyğun nəticə tapıldı!
"I was born in a family of drug addicts.	" Mən narkoman ailəsində anadan olmuşam.
"I am ashamed to say these words in public.	" Mən bu sözləri cəmiyyət arasına çıxarmağa utanıram.
"The beauty of the Qur'an is different from all literary works.	" Quranın gözəlliyi bütün ədəbi əsərlərdən fərqlidir.
"I just laughed when I saw that video.	" O videonu görəndə sadəcə güldüm.
Both the word and the feeling of "making love" are slang	" Sevişmək" sözü də, hissi də arqolaşdırılır
A matching result was found for the word "Syria"!	" Suriya " sözünə uyğun nəticə tapıldı!
"explanatory dictionaries explain the lexical meanings of words".	" izahlı lüğətlərdə sözlərün leksik mənaları izah olunur".
"Not for himself, only for the country!"	" Özü üçün yox,yalnız ölkə üçün !"
"Iraq" matching result found!	" İraq " sözünə uyğun nəticə tapıldı!
"I love Barcelona because of its history.	""Barselona"nı onun tarixinə görə sevirəm.
"I want to be the main goalkeeper of Barcelona"	""Barselona"nın əsas qapıçısı olmaq istəyirəm"
"There is no team that can resist Barcelona"	""Barselona"ya müqavimət göstərə biləcək komanda yoxdur"
""Southern Gas Corridor" creates a unique cooperation format"	""Cənub Qaz Dəhlizi" bənzərsiz bir əməkdaşlıq formatı yaradır"
"Indeed, your trick is great," he said.	""Həqiqətən də, sizin hiyləniz böyükdür" dedi".
The word "culture" comes from ancient Latin.	""Kultura" sözü qədim latın dilindən gəlir.
"My fault" stands out among Ilyas Efendiyev's plays.	""Mənim günahım" İlyas Əfəndiyevin pyesləri arasında xüsusi seçilir.
As we have seen the newspaper "Olympic World"	""Olimpiya dünyası” qəzetini necə görmüşüksə,
""Olympia" will face Jan Oblak's nightmare"	""Olimpiya" Yan Oblakın kabusu ilə qarşılaşacaq"
"If Karabakh wins, I will get married" - a bold move from the TV host	""Qarabağ" qalib gəlsə, ərə gedəcəm"- Teleaparıcıdan cəsarətli addım
""Karabakh" became the best team of my career"	""Qarabağ" karyeramın ən yaxşı komandası oldu"
I met "Guli" today.	""Quli" ilə bu gün görüşdüm.
"Gul huwallahu ahad" is equal to one third of the Qur'an.	""Qul huvəllahu əhəd" Quranın üçdə birinə bərabərdir."
"It is not right for me to work for Real".	""Real"da işləməyim düzgün olmaz".
"It's not right for me to work for Real"	""Real"da işləməyim düzgün olmaz"
"When getting a job at SOCAR, an acquaintance, friend, or uncle does not pass"	""SOCAR"da işə düzələrkən tanış, dost, dayı keçmir"
""I'm fine, don't worry about me.	""Vəziyyətim yaxşıdır, məndən nigaran olmayın.
""don't go near this tree, or you will be one of those who oppress yourselves""	""bu ağaca yaxınlaşmayın, yoxsa özünüzə zülm edənlərdən olarsınız""
The spelling of the words "soldier", "asginas", "Iskander", "torture" should not change.	""Əsgər", “əsginas”, “İsgəndər”, “işgəncə” sözlərinin yazılış forması dəyişməməlidir"
"-Treat your children equally in your treats and donations.	"-İkram və ehsanlarınızda uşaqlarınıza bərabər rəftar edin.
"-We have no choice but to pray to God with our righteous deeds.	"-Saleh əməllərimizlə Allaha dua etməkdən başqa çarəmiz yoxdur.
"...When a person is unemployed, he has a lot of time to think..."	"...Adam işsiz olanda düşünməyə də çoxlu vaxtı olur..."
"...I have decided to leave the company.	"....Şirkətdən getmək qərarına gəlmişəm.
"...I am very happy with the development of Balaka during the last years.	"...Balakənin son illər ərzində inkişafı məni çox sevindirir.
