Are you getting sick of Tom?	Você está ficando doente de Tom?
Without music, he had nothing.	Sem música, ele não tinha nada.
You may want to study harder for the next test.	Você pode querer estudar mais para o próximo teste.
Do you still go to class reunion?	Você ainda vai à reunião de classe?
Tom didn't want to be the last.	Tom não queria ser o último.
It doesn't matter what you said to your father.	Não importa o que você disse ao seu pai.
You don't think we should do that, do you?	Você não acha que devemos fazer isso, não é?
Your youngest son.	Seu filho mais novo.
I will sing.	Eu vou cantar.
I'm trying to be your friend.	Estou tentando ser seu amigo.
What Tom told Mary wasn't entirely true.	O que Tom disse a Mary não era totalmente verdade.
Now, let's get some sleep.	Agora, vamos dormir um pouco.
Tom died the same year Mary died.	Tom morreu no mesmo ano em que Mary morreu.
It won't be an easy thing to do.	Não será uma coisa fácil de fazer.
Just a request.	Apenas um pedido.
I don't think Tom knows what Mary thinks he should do.	Não acho que Tom saiba o que Mary acha que ele deveria fazer.
I'm not sure Tom can hear me.	Não tenho certeza se Tom pode me ouvir.
There's a lot at stake.	Há muito em jogo.
I see someone like you.	Eu vejo alguém como você.
Your turn to keep me out of trouble.	Sua vez de me manter longe de problemas.
Tom didn't realize that Mary was looking at him.	Tom não percebeu que Mary estava olhando para ele.
The number one reason is to play music.	A razão número um é tocar música.
Tom spent the summer in Australia.	Tom passou o verão na Austrália.
Something good in a bad world.	Algo bom em um mundo ruim.
For her, it was a different experience.	Para ela, foi uma experiência diferente.
I'm the only one around.	Eu sou o único por perto.
When finished, go outside.	Quando terminar, vá para fora.
Tom told me he doesn't like to study in the morning.	Tom me disse que não gosta de estudar de manhã.
Because this is my life now.	Porque essa é a minha vida agora.
It totally can.	Pode totalmente.
I won't forget any of you.	Não vou esquecer nenhum de vocês.
I'm thinking about getting married.	Estou pensando em me casar.
Maybe Tom can help you find a job.	Talvez Tom possa ajudá-lo a encontrar um emprego.
I think tonight is one of them.	Acho que esta noite é um deles.
I know Tom is a very good football player.	Eu sei que Tom é um jogador de futebol muito bom.
Playing with a friend is a lot of fun.	Jogar com um amigo é muito divertido.
Then he went back to his table again.	Então ele voltou para sua mesa novamente.
Tom earned enough over the summer to buy a bicycle.	Tom ganhou o suficiente durante o verão para comprar uma bicicleta.
You and I both know what will happen if Tom does this.	Você e eu sabemos o que vai acontecer se Tom fizer isso.
They might stay awhile, they might not.	Eles podem ficar por algum tempo, eles podem não.
I never tried this before.	Eu nunca tentei isso antes.
Meanwhile, there was the vacation.	Enquanto isso, havia as férias.
Tom was wearing a coat.	Tom estava vestindo um casaco.
You shouldn't play baseball here.	Você não deveria jogar beisebol aqui.
Of course they are.	Claro que eles são.
Tom said he didn't want to go to the dance with Mary.	Tom disse que não queria ir ao baile com Mary.
He will be in a lot of pain.	Ele vai sentir muita dor.
In fact, he's not a very nice guy.	Na verdade, ele não é um cara muito legal.
She is going to college soon.	Ela está indo para a faculdade em breve.
Now he knows the whole family is after him.	Agora ele sabe que toda a família está atrás dele.
It should easily get in and get started.	Deve facilmente entrar e começar.
We need to make a decision on this soon.	Precisamos tomar uma decisão sobre isso em breve.
She always had a cold.	Ela sempre teve um resfriado.
I don't think Tom is going to Boston with Mary.	Não acho que Tom vá para Boston com Mary.
I heard Boston is hot this time of year.	Ouvi dizer que Boston é quente nesta época do ano.
They were the same thing, he decided.	Eles eram a mesma coisa, ele decidiu.
A month and nothing more.	Um mês e nada mais.
Just the other morning.	Apenas na outra manhã.
He's been sleeping with his books for two days.	Há dois dias ele vai dormir com os livros.
It wouldn't be safe to do that.	Não seria seguro fazer isso.
Come when you come.	Vem quando vem.
It's pretty clear.	Está bem claro.
I'm in exactly the same situation as you.	Estou exatamente na mesma situação que você.
I haven't seen her since.	Não a vejo desde então.
Your job is to take everything seriously.	Seu trabalho é levar tudo a sério.
I see what you mean by that.	Eu vejo o que você quer dizer com isso.
We cannot find out who he is or was.	Não podemos descobrir quem ele é ou foi.
Tom told me a secret.	Tom me contou um segredo.
The baby was in pain.	O bebê estava com dor.
You never lost.	Você nunca perdeu.
Tom is late, isn't he?	Tom está atrasado, não está?
I couldn't understand what was happening there.	Eu não conseguia entender o que estava acontecendo lá.
I am her friend.	Eu sou seu amigo.
I feel quite sick.	Eu me sinto bastante doente.
I'm worried now.	Estou preocupado agora.
In other words, everything gets in the way.	Ou seja, tudo fica no caminho.
Tom told Mary he didn't think John was dead.	Tom disse a Mary que não achava que John estivesse morto.
His mother died when he was young.	Sua mãe morreu quando ele era jovem.
Tom Jackson is a teacher at our school.	Tom Jackson é professor em nossa escola.
Tom may not accept.	Tom pode não aceitar.
Tom couldn't eat for three days.	Tom não conseguiu comer por três dias.
It is where we are still for others.	É onde ainda estamos para os outros.
What is the answer to my question?	Qual é a resposta para minha pergunta?
She obviously likes to be around people.	Ela obviamente gosta de estar perto de pessoas.
I know Tom did this at least three times.	Eu sei que Tom fez isso pelo menos três vezes.
Mary said that she didn't think Tom was surprised.	Mary disse que achava que Tom não tinha ficado surpreso.
You made me feel like the person of the year.	Você me fez sentir a pessoa do ano.
Tom is stupid.	Tom é estúpido.
You have to win.	Você tem que vencer.
We asked Tom some questions.	Fizemos algumas perguntas a Tom.
We want too.	Nós também queremos.
Just your hands.	Apenas suas mãos.
Tom doesn't really care what Mary does.	Tom realmente não se importa com o que Mary faz.
I went to Boston with my brother last year.	Eu fui para Boston com meu irmão no ano passado.
Neither Tom nor Mary went to the library.	Nem Tom nem Mary foram à biblioteca.
You need to know what to do when you hear something.	Você precisa saber o que fazer quando ouvir algo.
About the truth being somewhere inside your heart.	Sobre a verdade estar em algum lugar dentro de seu coração.
You come back to the front.	Você volta para a frente.
Tom says I'm his girlfriend.	Tom diz que sou namorada dele.
There is someone new in my life.	Há alguém novo na minha vida.
I didn't go to Australia last Christmas.	Eu não fui para a Austrália no Natal passado.
That's why it's always so hot.	É por isso que está sempre tão quente.
The phone rings.	O telefone toca.
This will never change.	Isso nunca vai mudar.
It will take a long time.	Vai levar muito tempo.
We hope it's not a big problem.	Esperamos que não seja um grande problema.
My job is not easy.	Meu trabalho não é fácil.
Tom looked surprised that Mary didn't know what to do.	Tom pareceu surpreso por Mary não saber o que fazer.
He placed another.	Ele colocou outro.
But you are afraid of the light.	Mas você tem medo da luz.
She loves football, which is nice for a girl.	Ela adora futebol, o que é legal para uma garota.
I couldn't help but feel sorry for him.	Não pude deixar de sentir pena dele.
But it was getting late.	Mas estava ficando tarde.
This is a happy time for us.	Este é um momento feliz para nós.
Who is taller, Tom or Mary?	Quem é mais alto, Tom ou Mary?
Do your duty.	Faça o seu dever.
But it is likely that one more player will be needed.	Mas é provável que mais um jogador seja necessário.
I feel like I have to say something to Tom.	Sinto que devo dizer algo ao Tom.
Just easy to have around.	Apenas fácil de ter por perto.
You really should let this go. 	Você realmente deveria deixar isso de lado.
I don't know how to talk to children.	Não sei falar com crianças.
What do Tom and Mary have to do?	O que Tom e Mary têm que fazer?
This blue house is old.	Esta casa azul é velha.
Tom was the last to leave the store.	Tom foi o último a sair da loja.
This place can be cold at night.	Este lugar pode ser frio à noite.
I thought Tom was going to ask that.	Achei que Tom fosse perguntar isso.
That's what we want.	Isso é o que queremos.
Tom felt something was wrong.	Tom sentiu que algo estava errado.
It's part of the secret.	Faz parte do segredo.
I don't think I'll stay until the end of the show.	Acho que não vou ficar até o final do show.
He's one of my best friends.	Ele dos meus melhores amigos.
He wasn't very pleased.	Ele não estava muito satisfeito.
Brought in itself.	Trouxe em si mesmo.
I want to get lost.	Eu quero me perder.
We didn't have enough time.	Não tivemos tempo suficiente.
What Tom did was not cool.	O que Tom fez não era legal.
An apology dinner.	Um jantar de desculpas.
She took it.	Ela o pegou.
You don't want to hear it.	Você não quer ouvir isso.
And she didn't know how easy it would be to forget.	E ela não sabia se seria fácil esquecer.
Are you from here?	Você é daqui?
