"Fried ham with eggs and a bottle of milk!"	"Sült sonka tojással és egy üveg tej!"
We must maintain our usual rhythm of life.	Meg kell őriznünk megszokott életritmusunkat.
Because the most talented are usually saved.	Mert a legtehetségesebbeket fel szokták menteni.
Everything speaks for itself, knowledge, experience.	Minden maga mellett szól, a tudás, a tapasztalat.
I don't understand why they are taking the time.	Nem értem, mit húzzák az időt.
Silly frogs peered up into the high sky until	Buta békák addig lestek fel a magas égre,
While the cranes gobbled it all up for lunch.	Míg a darvak mind egy szálig felfalták ebédre.
You know they're going to get fired anyway, that's why you're talking like that.	Tudod, hogy úgyis felmentenek, azért beszélsz így.
Like grandma in the picture.	Mint nagymamának a képen.
We volunteered.	Önként jelentkeztünk.
Then I come home and we live together for a hundred years.	Aztán hazajövök és együtt élünk száz évig.
If we're together like this, let's sit down.	Ha már így együtt vagyunk, üljünk le.
We came from the factory, we give the gifts of the workers.	Mi a gyárból jöttünk, átadjuk a dolgozók ajándékait.
We haven't escorted anyone out yet.	Mi még nem kísértünk ki senkit.
And how jealous they will be when ours come back!	És hogy irigykednek majd, ha a mieink visszajönnek!
The terrible thing is that many will not come back.	Az a borzasztó, hogy sokan nem fognak visszajönni.
Boris is sending it for your birthday.	Borisz küldi a születésnapodra.
Goodbye, Boris!	Viszontlátásra, Borisz!
How scared this poor child is.	Hogy fél ez a szegény gyerek.
We won't break through with these.	Ezekkel ugyan nem törünk át.
Damn that stupid snot.	A fene egye meg az ilyen hülye taknyost.
Are you still angry that I slapped you?	Még mindig haragszol, hogy szájon vágtalak?
A few steps to the forest, we are already at home.	Pár lépés az erdőig, ott már otthon vagyunk.
You can dream after the war.	Ráér álmodozni a háború után.
If I settle for fifty by the time it gets here, I'll get a letter.	Ha elszámolok ötvenig, míg ideér, kapok levelet.
They say he was a smart, talented boy.	Azt mondják, okos, tehetséges fiú volt.
That doesn't mean he's dead.	Ez nem jelenti azt, hogy meghalt.
It is a great blessing that we can forget.	Nagy áldás, hogy feledni tudunk.
I mustn't forget.	Nem szabad felejtenem.
You cannot punish yourself for a single mistake for a lifetime.	Nem büntetheti magát egyetlen hibáért egy életen át.
Does a boss absolutely need to be flattered?	Egy főnöknek feltétlenül hízelegni kell?
Sorry to intrude.	Elnézést, hogy betörök.
He's a lucky guy to have found such a charming woman.	Szerencsés fickó, hogy ilyen bájos asszonykát talált.
They are worse than fascists, they always find their way into our hearts.	Rosszabbak a fasisztáknál, mindig a szívünkbe találnak.
Are you afraid that we will heal you and you can go back to fight?	Félsz, hogy meggyógyítunk és mehetsz vissza harcolni?
Don't hurt the poor guy, he got bad news from home.	Ne bántsa szegényt, rossz hírt kapott otthonról.
Cry or not, it didn't matter!	Sír vagy nem, nem volt hozzávaló!
That woman has no soul!	Nincs lelke annak a nőnek!
He doesn't understand what we suffer here for them.	Nem érti, mit szenvedünk itt értük.
You stood before the strictest court!	Te a legszigorúbb bíróság előtt álltál!
There is no forgiveness for such a crime!	Az ilyen bűnre nincs bocsánat!
If you gave birth, take care of it!	Ha megszülted, törődj is vele!
He lost his mother at the station.	Elvesztette az anyját az állomáson.
Take it to the collection point or guard room.	Vidd a gyűjtőhelyre vagy az őrszobára.
Give him a chance to explain, wait until then.	Adjon neki módot, hogy megmagyarázza, addig várjon.
My whole life consists of waiting.	Az egész életem abból áll, hogy várok.
The word only hurts, so gray and dull.	A szó csak árt, oly szürkén, tompán.
Any car is fine.	Bármilyen autó jó.
Fire truck, ambulance, tractor, whatever you can get.	Tűzoltóautó, mentő, traktor, amit csak szerezni tud.
Give hope where there is no hope.	Adjon reményt, ahol már nincs remény.
Don't think that I...	Dehogy azt hidd, hogy én...
Squirrel, my one and only, I wish you all the best on your birthday.	Mókuska, egyetlenem, minden jót kívánok neked a születésnapodon.
We can't even handle patient transportation.	Még a betegszállítást se tudjuk megoldani.
Maybe he didn't inform you about it?	Lehet, hogy önt nem tájékoztatta róla?
You can be sure that I will handle the matter discreetly.	Biztos lehet benne, hogy diszkréten kezelem az ügyet.
What do you want to do, Veronica?	Mit akarsz tenni, Veronika?
At least I'll get rid of you.	Legalább megszabadulok tőletek.
I also need to find his fiancee.	A menyasszonyát is meg kell keresnem.
Not that he died and was buried.	Azt nem, hogy meghalt és eltemették.
All they know is that he was given a special assignment.	Csak azt tudják, hogy különleges feladatot kapott.
Kolya, my life, you have come!	Kolja, életem, hát megjöttél!
We feel the sorrow of those who are waiting in vain for their loved ones today.	Átérezzük azok bánatát, akik ma hiába várnak szeretteikre.
We want to build a new, more beautiful world!	Új, szebb világot akarunk építeni!
Why don't you give the flowers to the people you brought them to?	Miért nem adod a virágot azoknak, akiknek hoztad?
Me to you before I reach out.	Én meg magának, mielőtt kinyúlok.
Of course not.	Természetesen nem.
I greet you on behalf of His Imperial Majesty.	Ő császári felsége nevében üdvözlöm önöket.
It will be a pleasant job that requires skill.	Kellemes munka lesz, amelyhez ügyesség kell.
The officers will work alongside the soldiers.	A tisztek a katonákkal együtt fognak dolgozni.
If you work hard, we will treat you well.	Ha keményen dolgoznak, jól bánunk majd önökkel.
If they don't work hard, there is a penalty.	Ha nem dolgoznak keményen azért büntetés jár.
I have the text and will be happy to show it to you.	Megvan a szövege és örömmel megmutatom önnek.
She sleeps with the officers.	A tisztekkel alszik.
Write down what you need!	Írja össze, mire van szüksége!
But how to talk to him is new.	De hogy lehet vele beszélni, az újdonság.
There is even less chance of survival.	Ltt még kisebb az esély a túlélésre.
For the right occasion, for the right company.	A kellő alkalomra, a kellő társaságra.
But our situation is special.	De a mi helyzetünk különleges.
Although he obviously doesn't know about it.	Bár nyilván nem tud róla.
Thus, in our case, running away can be illegal.	Így a mi esetünkben a szökés törvényellenes lehet.
Do you stick to the letter of the law at all costs?	Ragaszkodik a törvény betüjéhez bármi áron?
There is no civilization without law.	Törvény nélkül nincs civilizáció.
Let the people feel that we are in charge, not the Japanese.	Az emberek érezzék, mi parancsolunk nem a japánok.
So they will continue to be soldiers, not slaves.	Így továbbra is katonák lesznek, nem rabszolgák.
Cut off from his unity.	Elvágva az egységétől.
From the moment of surrender, they are no longer soldiers.	A megadás pillanatától fogva nem katonák többé.
They will work under the supervision of a Japanese engineer.	Egy japán mérnök irányítása alatt fognak dolgozni.
They renounced their honor.	Lemondtak a becsületükről.
Therefore, they also participate in useful work.	Ezért ők is részt vesznek a hasznos munkában.
Prisoner officers, for the tools!	Fogoly tisztek, a szerszámokért!
"Prisoners may be employed except for officers..."	"A foglyok munkára foghatók kivéve a tiszteket..."
But the translation can certainly be solved.	De a fordítás is bizonyára megoldható.
My officers do not do manual labor.	A tisztjeim nem végeznek fizikai munkát.
But the old man has courage!	Azért az öregben van kurázsi!
The officers to the penalty hut!	A tisztek a büntetőkunyhóba!
You are responsible for those who tried to escape.	Maga felelős azokért, akik szökni próbáltak.
Two were shot and the third drowned.	Kettőt lelőttek és a harmadik vízbe fúlt.
This shows where we should be at noon today.	Ez mutatja, hogy hol kéne tartanunk ma délben.
And this is where we really are.	Ez pedig azt, hol tartunk valójában.
They don't work well without the officers.	Nem dolgoznak jól a tisztek nélkül.
British officers will work.	A brit tisztek dolgozni fognak.
My officers are in charge.	A tisztjeim irányítanak.
We got some meat and a coconut.	Szereztünk egy kis húst és egy kókuszdiót.
People relax as much as they dare.	Az emberek lazsálnak, amennyire csak mernek.
There can be no doubt about it.	Kétség nem férhet hozzá.
But the rations were cut and if the patients...	De megnyirbálták az ételadagokat és ha a betegek...
It's crazy to plan an escape.	Őrültség szökést tervezni.
I object to the method of punishment.	Tiltakozom a büntetés módja ellen.
They refuse to share the burden with the soldiers.	Nem hajlandóak megosztani a terheket a katonákkal.
That's why they don't work happily.	Ezért nem dolgoznak boldogan.
I personally manage the construction.	Személyesen irányítom az építést.
Each will receive a gift as a reward for their future efforts.	Jövőbeni erőfeszítéseik jutalmául mindannyian ajándékot kapnak.
Our own Red Cross packages!	A saját vöröskeresztes csomagjaink!
I was not good at painting.	Festőnek nem voltam jó.
Well, I switched to engineering.	Hát áttértem a mérnöki tudományra.
I feel like you don't understand my situation.	Úgy érzem, nincs tisztában a helyzetemmel.
But there are officers working along the railway.	De hát dolgoznak tisztek végig a vasút mentén.
Officers only for guidance.	A tiszteket csak irányításra.
That's why I'm forced to put everyone to work.	Ezért kénytelen vagyok mindenkit munkába állítani.
I am not responsible for the rest.	A többiért nem vagyok felelős.
The text of the agreement is clear.	Az egyezmény szövege egyértelmü.
If I have to die, others will die first.	Ha meg kell halnom, előbb mások is meghalnak.
I sincerely doubt that your lieutenant...	Őszintén kétlem, hogy az ön hadnagya...
Defeated, but not ashamed!	Legyőzték, de nem szégyelli!
On this occasion, I gave myself a day off.	Ez alkalomból egy nap pihenőt adtam.
I am declaring a general amnesty.	Általános amnesztiát hirdetek.
You and your officers may return.	Ön és a tisztjei visszatérhetnek.
A corporal needs to know how many men he has.	Egy tizedesnek tudnia kell, hány embere van.
It may be funny, but it is not suitable for a soldier.	Lehet, hogy vicces, de katonához nem illik.
If it were up to you, how would you go about it?	Ha magán múlna hogyan fogna hozzá?
Because they couldn't have chosen a worse place.	Azért, mert rosszabb helyet nem is választhattak volna.
No matter how deep I beat them.	Bármilyen mélyre vernék is be őket.
In that strait.	Abban a szorosban.
Fortunately, we have a tool for it.	Szerencsére van hozzá eszközünk.
They want to be proud of their work.	Büszkék akarnak lenni a munkájukra.
Tell me what you need!	Mondja meg, mire van szüksége!
Then we meet with Saito and fix it.	Azután összeülünk Szaitóval és helyre tesszük.
So much for procedural issues.	Ennyit az eljárási kérdésekről.
It would collapse under the first train.	Az első vonat alatt összedőlne.
