"'Tell us, when will these things be?	"'Ibagam kadakami, kaannonto ti pannakaaramid dagitoy?
"Stay in your posts.	"Agtalinaedkayo iti puestoyo.
"All have sinned;" 	"Amin ket nagbasol;"
you are in the human condition.	kayta iti kasasaad iti tao.
"Anarchist FAQby various authors	"Anarkista a FAQbabaen dagiti nadumaduma a mannurat
"What's in the name?	"Ania ti adda iti nagan?
"What a shameless child you are.	"Ania ketdin nga awan babainmo nga anak.
"You owe me no debt of kindness!"	"Awanankay iti utang a naimbag a nakem!"
"Sports Associations"	"Dagiti Timpuyog nga Isport".
"You should cherish and love each other.	"Ipateg ken ayatenyo koma ti tunggal maysa."
"Keep your eyes on the road.	"Italimudokmo ti panagkitam iti dalan.
"And you came to try to save me, right?	"Ket immayka tapno padasem nga isalakannak, kasta?
"Remember the Sabbath day, to keep it holy.	"Laglagipem ti aldaw a panaginana tapno santifikarem.
"Sharing in our weaknesses."	"Makiramraman kadagiti kinakapuytayo."
"Bring an offering, and come into his courts.	"Mangyegkayo iti daton, ket umaykayo kadagiti paraanganna.
"How many countries are there in the world?"	"Mano a pagilian ket ti adda iti lubong?".
"Let's sleep in the fields to watch the harvest.	"Maturogta idiay taltalon tapno mabantayanta dagiti maani."
"Key Facts and Figures"	"Nagruna a Kinapudno ken dagiti Bilang".
"We've decided on our partners, dad.	"Nakaikeddengkamin kadagiti kakaduatayo, tata."
"It's hard to replace it.	"Narigat nga ipasukat dayta.
"Oh, a whole lot!" 	"O, sangasabalian!"
he said to his sons.	kinunana kadagiti putotna.
"Forgive me yesterday for being a little loud.	"Pakawanennak itay ta medio nangatuanka iti boses.
"I sniffed at them because they were just behind me.	"Sinintirko ida ta addada laeng iti likudak.
"Book Festival Unites Anarchists.	"Ti Piesta ti Libro ket Pinagkaykaysana dagiti Anarkista.
"It helps us in time of need."	"Tumulong kadatayo iti tiempo iti pannakasapultayo."
'So I'm telling you the truth.	'Su ngarud ta ibagbagak ti pudno kenka.
.When he took off his pants.,He waited for his next order.	.Idi naikkatkna ti pantalon.,Ururayenna ti sumaruno nga ibilinna.
That problems have solutions.	A dagiti parikut ket adda solusionda.
That this is the focus of attention.	A daytoy a dagdagulliten ti pakaituonan ti atension.
Which is how this guy feels.	A kas iti marikrikna daytoy a lalaki…
Which is what I think happened to you, Lawyer.	A kas ti pagarupek a napasamak kenka, Abogado.
That they need their inheritance.	A kasapulandan ti tawidda.
Which is noticeable even by children.	A mapalpaliiw a pati payen dagiti ubbing.
That I had to do what he said.	A nasken nga aramidek ti imbagana.
That courage is not arrogance.	A ti kinatured ket saan a kinapalangguad.
Oh, maybe this is just my heart.	A, siguro daytoy pusok laengen.
DOES prayer do us any good?	ADDA kadi pagimbagan nga itden kadatayo ti panagkararag?
WE LIVE in difficult times.	AGBIBIAGTAYON iti nakarigrigat a tiempo.
WHAT is the most important thing you have?	ANIA ti kapatgan a banag nga adda kenka?
WHAT is different about this picture?	ANIA ti naiduma iti daytoy a ladawan?
His front legs are shorter.	Ab-ababa dagiti sakana iti masanguanan.
This nephew of yours is forward thinking!	Abante ti panagpampanunot daytoy kaanakanyo!
