“I was able to receive the company overnight.	"Aku bisa nampa perusahaan ing sewengi.
“I haven’t been able to decide exactly what to do.	"Aku durung bisa netepake kanthi gumathok.
"I have food for you!" 	"Aku duwe pangan kanggo sampeyan!"
“I have to do the right thing.	"Aku kudu nglakoni sing bener.
"I have to show you I suffered a score!"	"Aku kudu nuduhake sampeyan aku nandhang skor!"
"I said to myself. People are missing.	"Aku ngandika marang aku. wong ilang.
“I know something needs to change.	"Aku ngerti ana sing kudu diganti.
“I can’t speak in front of him.	"Aku ora bisa ngomong ing ngarepé dhèwèké.
“I was wrong when I wore a national team uniform.	"Aku salah nalika nganggo seragam tim nasional.
“I’m very happy with the PMC,” he explains.	"Aku seneng banget marang PMC," dheweke nerangake.
"I agree, even if it's not easy to implement," he said.	"Aku setuju, sanajan iku ora gampang kanggo ngleksanakake,".
“I keep my son indoors the whole time.	"Aku tetep anakku ing jero ruangan kabeh wektu.
“An-married or married, it’s relaxed, not rushed.	"An-nikahu utawi nikah, iku santai, ora kesusu.
“Does this information change the way you define learning?	"Apa informasi iki ngganti cara sampeyan netepake sinau?
“Let’s be clear, today’s announcement is purely political.	"Ayo dadi cetha, pengumuman dina iki sejatine politik.
“Brother, consider this your own home.	"Cak, anggepen iki omahmu dhewe.
"So, this is what we do!"	"Dadi, iki apa sing kita tindakake!"
“He argues this will translate into sales.	"Dheweke argue iki bakal diterjemahake menyang dodolan.
“He has talent, it can’t be denied.	"Dheweke duwe bakat, ora bisa ditolak.
"Sister. I feel very sorry for my beloved wife.	"Dhík. aku rumångså móngkók bangêt marang bojoku kinasih.
“Hello, the contacts and information I get are great.	"Hello, kontak lan informasi aku njaluk gedhe.
“Hello, the contacts and information I have are great.	"Hello, kontak lan informasi sing aku gedhe banget.
“Islamic law can be determined at appropriate times.	"Hukum Islam bisa ditemtokake ing kaping sesuai.
“It’s like an accountant taking pictures,” she said.	"Iku kaya akuntan sing njupuk gambar," dheweke ngandika.
"It's the most fun and makes me happy."	"Iku sing paling nyenengake lan nggawe aku seneng."
“At the academy, they train, one touch, two touch.	"Ing akademi, padha nglatih, siji sentuhan, loro sentuhan.
“In the presence of a lawyer, the suspect was given a confession.	"Ing ngarsane pengacara, tersangka diwenehi pengakon.
"Yes I want to be king!"	"Iya aku pengin dadi raja!"
“Everything is very cultural, polite.	"Kabeh iku banget budayawan, sopan.
“The whole environment is built on this.	"Kabeh lingkungan dibangun babagan iki.
“The financial situation is more favorable compared to last year.	"Kahanan finansial luwih sarujuk dibandhingake taun kepungkur.
“Most tourists and adventurers need money.	"Kebanyakan wisatawan lan para petualangmbutuhake duit.
“We have no choice but to move immediately.	"Kita ora duwe pilihan nanging kanggo mindhah langsung.
“You who don’t know what I mean.	"Kowe sing ora ngerti maksudku.
“And when he had and stopped,	"Lan nalika dheweke wis lan mandheg,
“Your arms are always open when I need a hug.	"Lengenmu tansah mbukak nalika aku butuh ngrangkul.
“Here’s how Mimin’s own discovery.	"Lha saiki kepriye penemune Mimin dhewe.
"I mean I want to be king!"	"Maksude aku pengin dadi raja!"
