“... Praise God in his sanctuary.	"...Miderà an'Andriamanitra eo amin'ny fitoerany masina.
“... what happens to girls who suffer in silence?	"...inona no mitranga amin'ireo tovovavy mijaly am-pahanginana?
“Last trade war” is the theme of the show.	"Ady varotra farany" no lohahevitra andrafetana ny fampisehoana.
“Prisoners can write whatever they want.	"Afaka manoratra izay tian'izy ireo ny gadra.
"Seek First the Kingdom of Heaven".	" Katsaho aloha ny Fanjakan'ny Lanitra".
“This reporter can improve on his career.	"Afaka mivoatra eo amin'ny asany ity mpanangom-baovao ity.
“I was about to put the coffee in the windpipe.	"Aho saika hametraka ny kafe tao an-windpipe.
“How do you smile today?”	"Ahoana no mitsiky ao amin'izao andro izao?”
“In the name of God, I am in the throes of an election.	"Amin 'ny anaran' Andriamanitra, tratran'ny rarintsain'ny fifidianana aho.
“On the record, the song is horrible to me.	"Amin'ny fandraketana, mahatsiravina ahy ilay hira.
“With all my heart,” he said.	"Amin'ny foko rehetra" hoy izy.
“In humans, the important thing is the head!	"Amin'ny olombelona, ny zava-dehibe dia ny loha!
“Tithing belongs to God and is therefore holy.	"An'Andriamanitra ny ampahafolony ary noho izany dia masina.
“God sanctified the first marriage on earth.	"Andriamanitra no nanamasina ny fanambadiana voalohany tety an-tany.
“God here touched with the ox?	"Andriamanitra eto voakasika miaraka amin'ny omby?
"Lady" was indeed the nickname her ancestors called her.	"Andriambavilanitra" tokoa no anaran'angola niantson'ny razambe azy.
“Now I appreciate whoever tried to talk to me.	"Ankehitriny dia mankasitraka izay niezaka ny hiresaka amiko.
“And God gave unto him the things which he prayed.	"Ary Andriamanitra nanome azy ny zavatra izay nivavaka.
“And he went away in a great rage.	"Ary dia nandeha Izy mbamin'ny tezitra mafy.
“And so it was done.	"Ary dia toy izany natao izany.
“And the servant was healed in that hour.	"Ary ilay mpanompo dia sitrana tamin'izany ora izany.
"And he that watereth shall be watered also- Prov.	"Ary izay mandena dia mba holemana- Ohab.
“And what agreement hath the temple of God with idols?	"Ary inona no ikambanan'ny tempolin'Andriamanitra amin'ny sampy?
“And they worshiped the Lord there.	"Ary izy ireo nitsaoka ny Tompo amin'izay toerana.
“And called the monument after his name.	"Ary niantso ny tsangambato eo amin'ny anarany.
“And they all said the same thing.	"Ary niteny toy izany koa izy rehetra koa.
“And for that reason, he refused to drink.	"Ary noho izany antony, dia tsy nety nisotro.
“And so it went into him.	"Ary noho izany dia niditra taminy.
“And then, while he was walking, he was clean.	"Ary nony fa, raha mbola nandeha, dia nadio.
“And the prisoners escaped from his hands.	"Ary ny gadra niala avy tamin'ny tànany.
“And all the sons of Levi gathered themselves together unto him.	"Ary ny taranak'i Levy rehetra niangona teo aminy.
“And the glory of the Lord appeared to him.	"Ary ny voninahitry ny Tompo niseho azy.
“And while he was lying on the ground,	"Ary raha mbola nitsilany teo amin'ny tany,
“And when Shaphan read in the ears of the king,	"Ary rehefa novakiny Safana teo anatrehan'ny mpanjaka ny,
“Satan presents God’s law of love as a law of selfishness.	"Asehon'i Satana ho lalám-pitiavan-tena ny lalám-pitiavan'Andriamanitra.
“Show me faith without showing it!	"Asehoy ahy ny finoana raha tsy aseho!
“Do it yourself well through it,” he said.	"Ataovy iany ianao tsara amin'ny alalan'ny izany,"Hoy izy.
“For meat destroy not the work of God.	"Aza izay hanina no andravanao ny asan'Andriamanitra.
"Don't believe everything you meet."	"Aza mino izay rehetra mifanena aminao."
“Then we tied him with two new ropes.	"Dia namatotra azy tamin'ny mahazaka roa vaovao.
“And he gave him tithes of all.	"Dia nomeny azy ny fahafolon-karena amin'ny zavatra rehetra.
“And her daughter was healed from that hour.	"Dia sitrana ny zananivavy tamin'izay ora izay.
“The loss of my children has been hard.	"Efa mafy ny fahaverezan'ny zanako.
“Yeah, but someone knew him!” You don’t know that.	"Eny, saingy nisy olona nahafantatra azy!"Tsy fantatrao izany.
“Near you, in your mouth and in your heart.	"Eo akaikinao, eo am-bavanao sy ao am-ponao.
“But in the book, I’ll tell relatives and friends.	"Fa ao amin'ny boky aho, hilaza havana aman-tsakaiza.
“For we are God's fellow workers.	"Fa mpiara-miasa amin' Andriamanitra izahay.
“The system we have is an abomination to me.	"Fahavetavetana eo anatrehako ny rafitra izay ananantsika.
“I’m happy to greet you myself today.	"Faly mirahaba anareo androany ny tenako.
“Information is only available on WhatsApp,” he said.	"Fampahalalana tsy misy afa-tsy amin'ny WhatsApp," hoy izy.
"Global online exhibition of the world's top-class Internet"	"Fampirantiana an-tserasera manerantany amin'ny Internet-kilasy ambony eran-tany"
The Comforter is called the "Spirit of Truth."	"Fanahin'ny Fahamarinana" no iantsoana ilay Mpananatra.
“An organization in the process of preparing to become an internal chapter.	"Fikambanana eo andalam-panomanana mba ho tonga toko anatiny.
“It’s a good way for government colleagues to do it.	"Fomba tsara ataon'ny mpiara-miasa amin'ny governemanta izany.
Some people call it a “quiet time”.	"Fotoana mangina" no iantsoan'ny olona sasany izany.
“The redeemed there will know‘ as they knew ’.	"Hahafantatra 'toy izay nahafantarana'' azy ny voavotra ao.
"To promote the Kingdom of ...	"Hampandroso ny Fanjakan'And...
"We will change the history of the country in a few days ...	"Hanova ny tantaram-pirenena isika afaka andro vitsy...
"I will sanctify my way, my land will reign".	"Hasiniko ny fombako, hiandrianan'ny taniko".
"How can a person be born when he grows up?"	"Hataon' ny olona ahoana no hateraka rehefa lehibe?"
“The voice of the people of Hazar is heard.	"Heno ihany no niafaran'ny feon'ìreo vahoaka Hazara.
"Power of change to democracy destroys dictatorship".	"Herin'ny fanovana ho amin'ny demaokrasia mandrava ny jadona".
“We see the power of God’s Word.	"Hitantsika ny fahefan'ny Tenin'Andriamanitra.
“I will declare your name to my brothers.	"Hitory ny anaranao amin'ny rahalahiko aho.
“I will know you in your love.	"Ho Mahafantatra anao amin'ny ny fitiavanao.
“I keep the kids at home all the time.	"I mitandrina ny zaza an-trano ny fotoana rehetra.
"The man who has been waiting for you all."	"Ilay lehilahy izay efa niandry anao rehetra."
“What was the best time of your life?	"Inona ny fotoana tsara indrindra teo amin'ny fiainanao?
“This is the first post on your blog.	"Ity no lahatsoratra voalohany ao amin'ny blaoginao.
“Who shall separate us from the love of Christ?	"Iza no hahasaraka antsika amin'ny fitiavan'i Kristy?
“We are now, in a post-ethnic society.	"Izahay ankehitriny, ao amin'ny fiaraha-monina ara-poko lahatsoratra-.
“It’s now!”, Said the whole crowd.	"Izao dia izao!", hoy ny vahoaka manontolo.
"Whatever you do, do it for the Lord."	"Izay rehetra ataonareo dia ataovy hoan'ny Tompo".
“He’s the man who’s been waiting for you.	"Izy ilay lehilahy izay efa niandry anao.
“There are a lot of thugs there!” He said without hesitation.	"Jiolahy no betsaka any!", hoy izy tsy misalasala.
“So the best Hebrew of that time,	"Ka ilay Hebreo tsara indrindra tamin'izany fotoana izany,
“Kicha, you’re cute in the show.	"Kicha, mahafatifaty ianao ao anatin'ilay fandaharana.
“Human dignity has become a joke.	"Lasa kivazivazy ny fahamendrehan'ny olombelona.
"It's really fun. We really like it."	"Mahafinaritra tokoa izany, tena tianay izany."
"The believer endures to salvation".	"Maharitra amin'ny famonjena ny mino".
“People dressed in colored are ridiculed by the government.	"Mahatsikaiky ny fahatahoran'ny governemanta ireo olona mitafy miloko.
“The judicial process is almost non-existent.	"Manakaiky ny tsy misy ihany ny lalana ara-pitsarana.
"BNI supports you in your projects."	"Manohana anareo amin'ny tetikasanareo ny BNI”.
“Is that right?” The king said in confusion.	"Marina ve?", Hoy ny mpanjaka teo amin'ny fahaverezan-kevitra.
"To know shame in a life of sin".	"Mba mahalala menatra eo amin'ny fiainam-pahotana".
“The king is very concerned with the appearance of his appearance.	"Miahy fatratra amin'ny endrika ahitana azy ny mpanjaka.
“Living today in a changing world.	"Miaina amin'ny andro ankehitriny ao amin'ny tontolo miovaova.
“Enter through the narrow gate.	"Midira amin'ny vavahady tery.
“Always rejoice in the Lord!	"Mifalia mandrakariva ao amin'ny Tompo!
“Say goodbye to each other with a holy kiss.	"Mifanaova veloma amin'ny fanorohana masina.
"Speaking and inspiring on various wedding ceremonies ..."	"Mikabary sy manentana amin'ny raharaham-panambadianana lanonana isan-karazany..."
“The work of film production is changing.	"Miovaova ny asan'ny famokarana horonan-tsary.
“Just beware of the complete collapse of education in Uganda.	"Mitandrema fotsiny amin'ny firodanan'ny fanabeazana tanteraka ao Oganda.
“He stands in Christ as His head.	"Mitsangana eo amin'i Kristy amin'ny maha-lohany Azy izy.
The man is "selling a shovel," leaning on the floor.	"Mivarotra angady" ralehilahy, mitorovoka eo amin'ny tahalaka.
“Executor” can also be translated.	"Mpanatanteraka" ihany koa no azo handikana azy.
"Wandering" as they are called today!	"Mpiondana" araka ny filaza azy ankehitrio koa e!
